POLYGON ((0 0, 0 10, 0.1745506492821758 10, 0 0));0
POLYGON ((0 0, -0.1745240643728351 9.998476951563912, -0 10.001523280439077, 0 0));1
POLYGON ((0 0, -0.5233595624294383 9.986295347545738, -0.3490481287456703 9.99543062268875, 0 0));2
POLYGON ((0 0, -1.0452846326765346 9.945218953682732, -0.8716901901146624 9.963464464814571, 0 0));3
POLYGON ((0 0, -1.736481776669303 9.848077530122078, -1.5645829439629018 9.87838793228051, 0 0));4
POLYGON ((0 0, -2.588190451025207 9.659258262890681, -2.4195874708880285 9.704435295259922, 0 0));5
POLYGON ((0 0, -3.5836794954530014 9.335804264972015, -3.4207224258507853 9.398357623247072, 0 0));6
POLYGON ((0 0, -4.694715627858906 8.829475928589268, -4.540596552243247 8.911422494693063, 0 0));7
POLYGON ((0 0, -5.877852522924729 8.090169943749475, -5.736638081276269 8.192768241175612, 0 0));8
POLYGON ((0 0, -7.071067811865474 7.0710678118654755, -6.947641864097533 7.194493759633415, 0 0));9
POLYGON ((0 0, -8.191520442889917 5.735764363510462, -8.091402303511884 5.878747884701925, 0 0));10
POLYGON ((0 0, -9.13545457642601 4.067366430758003, -9.064458431290273 4.2268263835383, 0 0));11
POLYGON ((0 0, -9.781476007338057 2.0791169081775944, -9.74518488671246 2.2498532069794823, 0 0));12
POLYGON ((0 0, -9.998476951563914 -0.1745240643728341, -10.001523280439075 0.0000000000000013, 0 0));13
POLYGON ((0 0, -9.659258262890685 -2.588190451025207, -9.70443529525992 -2.4195874708880267, 0 0));14
POLYGON ((0 0, -8.660254037844387 -5, -8.747529362485475 -4.848834703474566, 0 0));15
POLYGON ((0 0, -6.946583704589973 -7.193398003386512, -7.072144933793596 -7.072144933793593, 0 0));16
POLYGON ((0 0, -4.539904997395468 -8.910065241883679, -4.695430764707204 -8.8308209053862, 0 0));17
POLYGON ((0 0, -1.5643446504023086 -9.876883405951377, -1.7367462915416274 -9.849577668508495, 0 0));18
POLYGON ((0 0, 1.7364817766693037 -9.848077530122081, 1.5645829439628995 -9.87838793228051, 0 0));19
POLYGON ((0 0, 5 -8.660254037844387, 4.848834703474566 -8.747529362485476, 0 0));20
POLYGON ((0 0, 7.771459614569709 -6.293203910498375, 7.661611331705446 -6.428855242657713, 0 0));21
POLYGON ((0 0, 9.563047559630355 -2.923717047227368, 9.512013888739265 -3.0906406632923518, 0 0));22
POLYGON ((0 0, 9.945218953682733 1.0452846326765335, 9.963464464814573 0.8716901901146583, 0 0));23
POLYGON ((0 0, 8.660254037844387 4.999999999999998, 8.747529362485476 4.848834703474565, 0 0));24
POLYGON ((0 0, 5.735764363510462 8.191520442889917, 5.878747884701928 8.091402303511884, 0 0));25
POLYGON ((0 0, 1.5643446504023104 9.876883405951379, 1.7367462915416283 9.849577668508495, 0 0));26
POLYGON ((0 0, -3.0901699437494727 9.510565162951538, -2.9241624113261073 9.56450427995891, 0 0));27
POLYGON ((0 0, -7.193398003386511 6.946583704589976, -7.072144933793593 7.072144933793599, 0 0));28
POLYGON ((0 0, -9.659258262890683 2.5881904510252096, -9.614081230521446 2.7567934311623903, 0 0));29
POLYGON ((0 0, -9.659258262890685 -2.5881904510252047, -9.704435295259923 -2.419587470888025, 0 0));30
POLYGON ((0 0, -6.946583704589976 -7.193398003386509, -7.0721449337935995 -7.072144933793593, 0 0));31
POLYGON ((0 0, -2.079116908177598 -9.781476007338055, -2.249853206979487 -9.745184886712462, 0 0));32
POLYGON ((0 0, 3.5836794954529974 -9.335804264972019, 3.42072242585078 -9.398357623247074, 0 0));33
POLYGON ((0 0, 8.191520442889914 -5.735764363510466, 8.091402303511883 -5.878747884701932, 0 0));34
POLYGON ((0 0, 10 -0.0000000000000071, 10 -0.1745506492821827, 0 0));35
POLYGON ((0 0, 8.090169943749478 5.8778525229247265, 8.192768241175617 5.736638081276265, 0 0));36
POLYGON ((0 0, 2.9237170472273735 9.563047559630354, 3.090640663292354 9.512013888739263, 0 0));37
POLYGON ((0 0, -3.583679495452997 9.33580426497202, -3.42072242585078 9.398357623247074, 0 0));38
POLYGON ((0 0, -8.660254037844384 5.000000000000007, -8.572978713203296 5.151165296525438, 0 0));39
POLYGON ((0 0, -9.848077530122083 -1.7364817766692955, -9.87838793228051 -1.5645829439628964, 0 0));40
POLYGON ((0 0, -6.293203910498382 -7.771459614569705, -6.428855242657714 -7.661611331705442, 0 0));41
POLYGON ((0 0, 0.5233595624294303 -9.986295347545742, 0.3490481287456637 -9.995430622688747, 0 0));42
POLYGON ((0 0, 7.193398003386507 -6.9465837045899805, 7.07214493379359 -7.072144933793599, 0 0));43
POLYGON ((0 0, 10.000000000000004 -0.0000000000000089, 10 -0.1745506492821827, 0 0));44
POLYGON ((0 0, 7.071067811865484 7.071067811865471, 7.1944937596334215 6.947641864097529, 0 0));45
POLYGON ((0 0, -0.1745240643728252 9.998476951563916, 0.000000000000008 10.001523280439077, 0 0));46
POLYGON ((0 0, -7.431448254773938 6.691306063588591, -7.314651072979422 6.821022475386357, 0 0));47
POLYGON ((0 0, -9.945218953682737 -1.045284632676525, -9.963464464814571 -0.8716901901146539, 0 0));48
POLYGON ((0 0, -5.735764363510471 -8.191520442889914, -5.878747884701934 -8.09140230351188, 0 0));49
POLYGON ((0 0, 2.588190451025198 -9.659258262890688, 2.4195874708880183 -9.704435295259923, 0 0));50
POLYGON ((0 0, 9.135454576426007 -4.067366430758013, 9.06445843129027 -4.226826383538311, 0 0));51
POLYGON ((0 0, 8.829475928589277 4.694715627858899, 8.911422494693069 4.540596552243236, 0 0));52
